,city,lat,lon,temp,humidity,wind,clouds,country,date
83,calama,-22.4667,-68.9333,75.2,20,24.16,0,CL,1611001870
84,longyearbyen,78.2186,15.6401,19.4,68,24.16,20,SJ,1611001870
85,alta floresta,-9.8756,-56.0861,84.2,74,10.36,40,BR,1611001870
86,avarua,-21.2078,-159.775,86.0,74,10.36,40,CK,1611001870
87,half moon bay,37.4636,-122.4286,73.4,16,10.36,1,US,1611001649
88,beaucaire,43.8081,4.6442,41.0,56,11.5,0,FR,1611001870
89,lebu,-37.6167,-73.65,62.71,76,23.78,0,CL,1611001871
90,flinders,-34.5833,150.8552,66.99,93,1.01,94,AU,1611001871
91,ilulissat,69.2167,-51.1,14.0,52,4.61,40,GL,1611001871
92,tarko-sale,64.9225,77.785,-27.27,86,1.68,34,RU,1611001871
93,puerto narino,-3.7703,-70.3831,86.0,79,9.22,40,CO,1611001871
94,yumen,40.2833,97.2,15.44,77,22.12,0,CN,1611001871
95,bridlington,54.0831,-0.1919,39.99,86,11.01,100,GB,1611001748
96,luanda,-8.8368,13.2343,78.8,78,9.22,0,AO,1611001649
97,khatanga,71.9667,102.5,-32.28,81,14.05,0,RU,1611001872
98,nelson bay,-32.7167,152.15,72.0,88,9.22,40,AU,1611001872
99,caborca,30.5838,-111.101,75.99,16,1.01,0,MX,1611001872
100,lompoc,34.6391,-120.4579,75.0,45,4.09,44,US,1611001628
101,loudi,27.7344,111.9944,42.04,64,1.52,0,CN,1611001760
102,strezhevoy,60.7333,77.5889,-22.0,83,6.71,20,RU,1611001872
103,uglovskoye,51.3557,80.1942,6.42,94,4.63,100,RU,1611001873
104,batemans bay,-35.7167,150.1833,64.0,58,5.01,21,AU,1611001873
105,russell,32.3502,-85.1999,59.0,23,8.05,1,US,1611001873
106,tiebissou,7.1574,-5.2257,77.0,88,2.91,27,CI,1611001873
107,anastacio,-20.4836,-55.8069,73.44,97,3.85,100,BR,1611001873
108,saint george,37.1041,-113.5841,59.0,19,4.61,1,US,1611001705
109,north bend,43.4065,-124.2243,51.8,71,12.66,1,US,1611001874
110,margate,51.3813,1.3862,46.0,77,10.0,100,GB,1611001822
111,matara,5.9485,80.5353,74.55,92,4.34,100,LK,1611001874
112,east london,-33.0153,27.9116,70.43,79,20.65,51,ZA,1611001874
113,caucaguita,10.3578,-66.8025,84.2,74,6.91,40,VE,1611001874
114,morelia,19.7008,-101.1844,77.0,27,5.75,40,MX,1611001791
115,victoria,22.2855,114.1577,57.0,75,1.01,43,HK,1611001808
116,narsaq,60.9167,-46.05,17.6,57,1.14,75,GL,1611001875
117,araouane,18.9048,-3.5265,66.83,22,9.31,32,ML,1611001875
118,beringovskiy,63.05,179.3167,-19.61,86,12.55,40,RU,1611001875
119,vostok,46.4856,135.8833,-18.09,89,4.32,100,RU,1611001875
120,saint anthony,45.0205,-93.218,23.0,68,10.36,90,US,1611001875
121,krasnoselkup,65.7,82.4667,-17.12,89,2.15,98,RU,1611001875
122,portland,45.5234,-122.6762,48.2,71,4.61,20,US,1611001598
123,lincoln,40.8,-96.667,37.4,75,8.05,75,US,1611001673
124,fortuna,40.5982,-124.1573,59.0,71,6.91,1,US,1611001876
125,mount isa,-20.7333,139.5,82.4,44,5.75,0,AU,1611001859
126,dingle,10.9995,122.6711,72.32,95,9.66,100,PH,1611001876
127,chicama,-7.8447,-79.1469,69.8,83,9.22,20,PE,1611001876
128,tuatapere,-46.1333,167.6833,51.01,92,1.99,100,NZ,1611001876
129,berlevag,70.8578,29.0864,35.6,75,20.71,75,NO,1611001876
130,sabang,5.8933,95.3214,81.07,75,15.01,78,ID,1611001876
131,udachnyy,66.4167,112.4,-52.53,75,4.23,57,RU,1611001877
132,kasongo-lunda,-6.4667,16.8167,70.38,93,2.08,100,CD,1611001877
133,tighina,46.8306,29.4711,12.2,73,9.22,90,MD,1611001877
134,kysyl-syr,63.8986,122.7617,-51.83,76,5.48,56,RU,1611001877
135,susanville,40.4163,-120.653,48.99,23,8.05,1,US,1611001636
136,bethel,41.3712,-73.414,41.0,52,11.5,90,US,1611001877
137,nkhotakota,-12.9274,34.2961,76.28,83,3.8,100,MW,1611001877
138,wanning,18.8003,110.3967,54.95,75,7.54,0,CN,1611001877
139,jamestown,42.097,-79.2353,30.99,93,12.66,90,US,1611001878
140,schroeder,-26.4125,-49.0731,71.6,94,6.91,75,BR,1611001878
141,cidreira,-30.1811,-50.2056,73.51,70,11.72,10,BR,1611001878
142,itarema,-2.9248,-39.9167,80.42,76,13.31,74,BR,1611001878
143,palu,-0.8917,119.8707,76.66,68,2.98,100,ID,1611001861
144,ishurdi,24.1333,89.0833,61.03,62,2.62,2,BD,1611001878
145,dikson,73.5069,80.5464,-18.98,84,19.33,3,RU,1611001878
146,castro,-24.7911,-50.0119,67.68,96,1.86,100,BR,1611001878
147,kitgum,3.2783,32.8867,78.12,45,4.97,68,UG,1611001685
148,yatou,37.15,122.3833,21.47,89,7.36,0,CN,1611001879
149,santa rosa,14.3122,121.1114,78.8,78,2.3,75,PH,1611001879
150,severnyy,50.677,36.5532,6.8,85,2.24,100,RU,1611001879
151,storm lake,42.6411,-95.2097,30.2,86,4.0,1,US,1611001879
152,walvis bay,-22.9575,14.5053,68.0,77,13.8,64,NA,1611001879
153,kintinku,-5.8833,35.2333,71.6,78,1.81,20,TZ,1611001879
154,luderitz,-26.6481,15.1594,65.97,85,13.06,0,NA,1611001880
155,evensk,61.95,159.2333,-7.37,77,13.8,100,RU,1611001880
156,luangwa,-15.6167,30.4167,75.49,92,1.99,100,ZM,1611001880
157,manta,-0.95,-80.7333,82.4,78,6.91,40,EC,1611001717
158,qaanaaq,77.484,-69.3632,3.99,84,6.49,100,GL,1611001880
159,saskylakh,71.9167,114.0833,-33.77,82,4.68,100,RU,1611001880
160,cabo san lucas,22.8909,-109.9124,78.01,46,8.05,20,MX,1611001847
161,vestmanna,62.1564,-7.1664,33.8,100,7.14,82,FO,1611001881
162,mahebourg,-20.4081,57.7,78.8,100,9.22,75,MU,1611001881
163,pangkalanbuun,-2.6833,111.6167,73.94,97,1.97,100,ID,1611001881
164,beroroha,-21.6667,45.1667,76.96,81,3.76,100,MG,1611001881
165,tahta,26.7693,31.5021,53.6,47,4.61,0,EG,1611001881
166,talnakh,69.4865,88.3972,-10.5,88,3.53,100,RU,1611001881
167,sorland,67.667,12.6934,21.2,93,2.3,20,NO,1611001881
168,thompson,55.7435,-97.8558,-5.8,77,3.22,90,CA,1611001754
169,polson,47.6936,-114.1632,37.0,61,1.97,88,US,1611001882
170,le mars,42.7942,-96.1656,34.0,69,2.59,20,US,1611001882
171,kaduqli,11.0167,29.7167,73.4,23,10.18,0,SD,1611001882
172,grand gaube,-20.0064,57.6608,80.01,88,3.0,100,MU,1611001882
173,lima,-12.0432,-77.0282,77.0,65,5.75,0,PE,1611001800
174,amahai,-3.3333,128.9167,82.99,90,5.99,100,ID,1611001882
175,leningradskiy,69.3833,178.4167,-24.99,83,8.7,97,RU,1611001883
176,port elizabeth,-33.918,25.5701,68.0,88,13.8,40,ZA,1611001883
177,les cayes,18.2,-73.75,83.23,58,3.0,64,HT,1611001883
178,bereda,43.2686,-7.5406,43.0,100,5.01,0,ES,1611001883
179,mar del plata,-38.0023,-57.5575,87.8,33,18.41,0,AR,1611001883
180,arcos,-20.2819,-45.5394,76.8,82,5.03,3,BR,1611001883
181,nenjiang,49.1833,125.2167,-21.6,76,5.23,21,CN,1611001883
182,parabel,58.6978,81.4825,-15.39,88,8.66,57,RU,1611001883
183,raudeberg,61.9875,5.1352,41.0,69,15.03,49,NO,1611001594
184,new norfolk,-42.7826,147.0587,53.01,60,1.99,44,AU,1611001884
185,japura,-0.3167,102.35,70.72,95,0.58,100,ID,1611001884
186,crib point,-38.35,145.2,57.99,64,15.19,54,AU,1611001884
187,minsk,53.9,27.5667,1.4,85,2.24,90,BY,1611001864
188,kaitangata,-46.2817,169.8464,57.0,73,4.0,78,NZ,1611001884
189,myitkyina,25.3833,97.4,63.52,59,1.54,87,MM,1611001884
190,opuwo,-18.0607,13.84,70.12,50,7.67,96,NA,1611001885
191,pevek,69.7008,170.3133,-31.4,85,5.32,95,RU,1611001885
192,upata,8.0086,-62.3989,88.0,56,3.0,95,VE,1611001885
193,mayumba,-3.432,10.6554,78.8,82,5.19,100,GA,1611001885
194,oktyabrskiy,54.4815,53.471,-1.5,91,5.17,100,RU,1611001885
195,chuy,-33.6971,-53.4616,69.84,60,11.1,0,UY,1611001885
196,faya,18.3851,42.4509,57.2,88,1.83,0,SA,1611001885
197,bairiki,1.3292,172.9752,80.6,78,12.66,75,KI,1611001660
198,lamar,33.6668,-95.5836,63.0,42,14.97,75,US,1611001886
199,carnarvon,-24.8667,113.6333,80.6,94,8.05,43,AU,1611001886
200,zhangjiakou,40.81,114.8794,11.95,88,7.0,0,CN,1611001886
201,tasiilaq,65.6145,-37.6368,19.4,53,4.61,15,GL,1611001886
202,catamarca,-28.4696,-65.7852,87.01,46,8.01,6,AR,1611001886
203,anadyr,64.75,177.4833,-23.01,69,11.18,20,RU,1611001886
204,pilibanga,29.4916,74.079,50.99,61,5.44,0,IN,1611001886
205,mariental,-24.6333,17.9667,84.4,19,9.57,38,NA,1611001887
206,invermere,50.5167,-116.0354,26.01,91,3.18,14,CA,1611001617
207,yaan,7.3833,8.5667,82.24,17,3.09,51,NG,1611001887
208,zalantun,48.0,122.7167,-16.98,70,1.59,10,CN,1611001887
209,miles city,46.4083,-105.8406,30.2,84,19.57,75,US,1611001887
210,katsuura,35.1333,140.3,46.4,49,24.16,20,JP,1611001887
211,howard springs,-12.497,131.047,78.8,94,8.05,75,AU,1611001887
212,tilichiki,60.4667,166.1,-23.08,85,16.4,86,RU,1611001888
213,lubango,-14.9172,13.4925,64.42,50,4.29,91,AO,1611001888
214,beipiao,41.7919,120.7792,-1.91,74,4.09,67,CN,1611001629
215,taltal,-25.4,-70.4833,70.54,61,6.69,22,CL,1611001888
216,samarai,-10.6167,150.6667,84.83,77,10.98,94,PG,1611001888
217,nerchinskiy zavod,51.3088,119.61,-24.25,86,3.2,100,RU,1611001888
218,northam,51.0333,-4.2167,51.01,94,11.99,100,GB,1611001889
219,liwale,-9.7667,37.9333,71.17,98,4.25,100,TZ,1611001889
220,port lincoln,-34.7333,135.8667,59.76,80,13.33,93,AU,1611001719
221,naron,43.5167,-8.1528,51.01,100,2.3,0,ES,1611001889
222,pimentel,-6.8367,-79.9342,78.8,57,18.41,0,PE,1611001889
223,nanortalik,60.1432,-45.2371,27.95,84,6.26,100,GL,1611001889
224,goderich,43.7501,-81.7165,32.0,69,12.66,97,CA,1611001889
225,kropotkin,45.4375,40.5756,21.47,97,6.11,100,RU,1611001890
226,aketi,2.7388,23.7833,74.55,57,1.63,46,CD,1611001890
227,faanui,-16.4833,-151.75,80.85,76,16.31,6,PF,1611001890
228,beaupre,47.0443,-70.8953,24.8,50,8.05,55,CA,1611001890
229,padang,-0.9492,100.3543,73.4,94,2.3,40,ID,1611001890
230,kodiak,57.79,-152.4072,41.0,93,6.91,90,US,1611001890
231,alyangula,-13.8483,136.4192,77.0,100,12.12,75,AU,1611001890
232,waingapu,-9.6567,120.2641,77.74,81,1.97,100,ID,1611001890
233,kastornoye,51.8334,38.1302,-1.71,92,4.25,97,RU,1611001891
234,jining,35.405,116.5814,31.51,88,11.07,0,CN,1611001891
235,borovoy,55.4333,86.0833,8.6,78,15.66,40,RU,1611001891
236,kang,-23.6752,22.7876,82.69,41,11.92,100,BW,1611001891
237,ugoofaaru,5.6667,73.0,81.84,73,12.19,45,MV,1611001891
238,denpasar,-8.65,115.2167,77.0,100,2.3,75,ID,1611001891
239,felipe carrillo puerto,19.5833,-88.05,70.2,76,1.39,99,MX,1611001891
240,merauke,-8.4667,140.3333,76.33,88,4.61,95,ID,1611001891
241,lacdayan,13.6,122.5333,74.66,91,8.9,100,PH,1611001892
242,sao filipe,14.8961,-24.4956,73.81,64,7.72,100,CV,1611001892
243,port hardy,50.6996,-127.4199,42.8,93,3.44,90,CA,1611001892
244,palmerston,-12.486,130.9833,78.8,94,8.05,75,AU,1611001802
245,westport,41.1415,-73.3579,44.6,45,12.66,75,US,1611001892
246,mayo,38.8876,-76.5119,44.6,42,11.5,90,US,1611001892
247,pizarro,4.9533,-77.366,80.78,80,6.67,1,CO,1611001892
248,gangakher,18.95,76.75,70.7,54,6.98,1,IN,1611001892
249,ambasamudram,8.7,77.4667,78.8,78,3.85,20,IN,1611001893
250,deputatskiy,69.3,139.9,-39.53,84,2.84,77,RU,1611001893
251,punta de piedra,7.6176,-71.4916,88.52,46,3.49,87,VE,1611001893
252,aiquile,-18.2041,-65.1807,59.58,62,3.69,98,BO,1611001893
253,torbay,47.6666,-52.7314,39.99,87,10.36,90,CA,1611001893
254,namatanai,-3.6667,152.4333,80.85,76,5.26,72,PG,1611001893
255,tongliao,43.6125,122.2653,-15.81,80,6.85,24,CN,1611001894
256,nkowakowa,-23.8878,30.2871,64.4,68,10.36,0,ZA,1611001894
257,abu dhabi,24.4667,54.3667,66.2,88,2.3,0,AE,1611001894
258,vila franca do campo,37.7167,-25.4333,61.0,88,16.11,20,PT,1611001894
259,kasimov,54.9411,41.3953,-0.98,92,2.86,100,RU,1611001894
260,suhbaatar,50.2314,106.2078,-1.77,88,4.34,99,MN,1611001894
261,viedma,-40.8135,-62.9967,87.01,25,12.53,0,AR,1611001825
262,bubaque,11.2833,-15.8333,80.02,57,10.22,1,GW,1611001895
263,shwebo,22.5667,95.7,63.12,68,2.77,7,MM,1611001895
264,cochrane,51.1834,-114.4687,36.0,44,16.11,1,CA,1611001895
265,port blair,11.6667,92.75,79.05,74,11.27,45,IN,1611001895
266,horsham,51.064,-0.3272,46.4,87,11.5,75,GB,1611001896
267,vicente guerrero,19.1194,-98.1708,69.8,30,5.75,40,MX,1611001795
268,mount gambier,-37.8333,140.7667,55.4,76,8.05,90,AU,1611001606
269,vila velha,-20.3297,-40.2925,84.2,61,13.8,0,BR,1611001897
270,orlik,52.5178,99.825,0.81,82,3.09,58,RU,1611001897
271,constitucion,-35.3333,-72.4167,69.42,51,9.24,0,CL,1611001897
272,airai,-8.9266,125.4092,59.88,100,1.23,100,TL,1611001897
273,korhogo,9.45,-5.6333,75.22,19,0.67,8,CI,1611001897
274,bud,39.447,-86.1758,34.0,86,10.89,100,US,1611001897
275,chuncheng,22.1731,111.7886,49.15,52,2.59,28,CN,1611001898
276,san juan,-31.5375,-68.5364,93.58,11,7.92,0,AR,1611001809
277,sainte-marie,-20.8968,55.5496,80.6,83,16.11,90,RE,1611001898
278,djenne,13.9061,-4.5533,76.21,17,10.45,0,ML,1611001898
279,diebougou,10.9667,-3.25,78.6,16,4.81,12,BF,1611001898
280,carballo,43.213,-8.691,50.0,96,1.01,0,ES,1611001898
281,norman wells,65.282,-126.8329,-2.2,84,5.75,20,CA,1611001898
282,cherskiy,68.75,161.3,-43.2,79,3.44,51,RU,1611001898
283,ancud,-41.8697,-73.8203,71.6,64,9.22,20,CL,1611001899
284,bognor regis,50.7821,-0.6798,46.99,96,8.01,100,GB,1611001815
285,chumikan,54.7183,135.315,-24.61,75,23.53,0,RU,1611001899
286,guerrero negro,27.9769,-114.0611,75.9,22,3.98,0,MX,1611001686
287,fuyu,45.1833,124.8167,-19.59,81,7.2,0,CN,1611001899
288,panguna,-6.3164,155.4848,73.09,90,2.13,100,PG,1611001899
289,salalah,17.0151,54.0924,68.0,45,6.91,0,OM,1611001900
290,srednekolymsk,67.45,153.6833,-42.86,81,2.91,60,RU,1611001900
291,shingu,33.7333,135.9833,35.46,80,9.93,1,JP,1611001900
292,brunico,46.7958,11.9364,26.01,76,1.81,5,IT,1611001900
293,pryluky,50.5932,32.3876,8.64,93,6.06,100,UA,1611001900
294,new waterford,40.8451,-80.6145,32.0,78,7.0,100,US,1611001900
295,talara,-4.5772,-81.2719,84.2,54,9.22,0,PE,1611001900
296,nouadhibou,20.931,-17.0347,68.0,45,12.66,0,MR,1611001900
297,nuuk,64.1835,-51.7216,26.6,54,3.44,20,GL,1611001722
298,lexington,37.9887,-84.4777,35.01,75,9.22,90,US,1611001765
299,bardiyah,31.7561,25.0865,57.54,69,22.46,6,LY,1611001901
300,touros,-5.1989,-35.4608,82.4,65,16.11,20,BR,1611001901
301,boguchany,58.3814,97.4531,13.12,93,9.1,100,RU,1611001901
302,wawa,9.9022,4.4192,82.04,17,8.46,0,NG,1611001901
303,sakakah,29.9697,40.2064,46.4,49,6.91,0,SA,1611001651
304,college,64.8569,-147.8028,37.4,59,8.05,90,US,1611001901
305,tumut,-35.3,148.2167,57.2,72,4.61,0,AU,1611001901
306,maniitsoq,65.4167,-52.9,26.44,86,6.69,100,GL,1611001901
307,saldanha,-33.0117,17.9442,64.4,82,11.5,0,ZA,1611001902
308,newport,51.5877,-2.9984,50.0,98,3.0,100,GB,1611001808
309,karaton,-6.3424,106.1045,78.01,88,11.5,20,ID,1611001902
310,schrems,48.7833,15.0667,33.01,77,5.01,100,AT,1611001902
311,chokurdakh,70.6333,147.9167,-33.16,85,0.67,0,RU,1611001902
312,kavieng,-2.5744,150.7967,82.83,73,12.84,58,PG,1611001622
313,miyako,39.6367,141.9525,30.09,93,9.24,82,JP,1611001698
314,kenora,49.8167,-94.4337,1.4,85,8.05,75,CA,1611001903
315,geraldton,-28.7667,114.6,77.0,65,3.44,40,AU,1611001903
316,quchan,37.106,58.5095,38.03,74,4.85,0,IR,1611001903
317,tarnos,43.5417,-1.4628,42.8,93,5.75,0,FR,1611001903
318,havoysund,70.9963,24.6622,32.0,69,14.97,75,NO,1611001903
319,morgan city,29.6994,-91.2068,64.99,34,6.91,1,US,1611001903
320,poso,-1.3959,120.7524,79.0,82,3.49,100,ID,1611001903
321,avera,33.194,-82.5271,57.2,26,13.8,1,US,1611001903
322,tanout,14.9709,8.8879,65.82,25,15.84,72,NE,1611001904
323,grindavik,63.8424,-22.4338,32.0,86,21.85,75,IS,1611001753
324,benghazi,32.1167,20.0667,59.7,64,18.72,42,LY,1611001904
325,takoradi,4.8845,-1.7554,79.38,83,7.4,67,GH,1611001614
326,bronnoysund,65.4625,12.1997,32.0,80,6.91,0,NO,1611001904
327,alanya,36.5438,31.9998,44.6,93,5.75,75,TR,1611001904
328,charagua,-19.8,-63.2167,84.2,37,9.24,20,BO,1611001904
329,tombouctou,20.0,-3.0,68.58,21,10.94,79,ML,1611001904
330,phan thiet,10.9333,108.1,66.99,70,4.63,100,VN,1611001905
331,paamiut,61.994,-49.6678,28.38,85,5.86,100,GL,1611001905
332,belmonte,-15.8631,-38.8828,82.4,74,5.75,20,BR,1611001905
333,zhigansk,66.7697,123.3711,-50.53,76,6.17,51,RU,1611001905
334,morondava,-20.2833,44.2833,84.49,76,10.54,100,MG,1611001640
335,gorontalo,0.5412,123.0595,75.88,83,1.79,100,ID,1611001906
336,clyde river,70.4692,-68.5914,-0.4,78,4.61,75,CA,1611001906
337,labuhan,-6.8844,112.2051,77.9,86,11.12,100,ID,1611001906
338,alexander city,32.944,-85.9539,55.4,26,9.22,1,US,1611001906
339,lakes entrance,-37.8811,147.981,55.99,78,13.67,97,AU,1611001907
340,metro,-5.1131,105.3067,71.47,93,8.08,100,ID,1611001655
341,kinablangan,7.6947,126.5503,76.53,84,3.98,100,PH,1611001907
342,vestmannaeyjar,63.4427,-20.2734,35.67,82,28.72,14,IS,1611001907
343,goure,13.9835,10.2704,73.0,19,11.01,0,NE,1611001907
344,farah,32.5,62.5,48.33,44,1.19,0,AF,1611001907
345,zapolyarnyy,69.4154,30.8136,23.0,86,12.66,20,RU,1611001907
346,fort nelson,58.8053,-122.7002,32.0,59,6.91,20,CA,1611001802
347,sitka,57.0531,-135.33,44.6,76,20.71,90,US,1611001908
348,vershino-shakhtaminskiy,51.3012,117.8868,-21.69,88,4.27,100,RU,1611001908
349,onokhoy,51.932,108.0747,-22.0,69,1.97,53,RU,1611001908
350,broken hill,-31.95,141.4333,59.0,67,13.8,0,AU,1611001908
351,fare,-16.7,-151.0167,81.01,76,15.59,0,PF,1611001908
352,nikolskoye,59.7035,30.7861,19.4,93,4.47,0,RU,1611001908
353,gamba,-2.65,10.0,78.19,83,4.63,68,GA,1611001908
354,vardo,70.3705,31.1107,32.0,80,24.16,20,NO,1611001908
355,khorixas,-20.3667,14.9667,68.97,47,12.06,96,NA,1611001909
356,uberlandia,-18.9186,-48.2772,82.4,51,5.75,40,BR,1611001878
357,tsiroanomandidy,-18.7667,46.0333,70.7,93,4.14,99,MG,1611001909
358,bogotol,56.2078,89.5342,6.64,95,12.35,100,RU,1611001909
359,ontario,34.0633,-117.6509,82.4,13,23.02,20,US,1611001909
360,bichura,50.5881,107.6022,2.62,88,2.93,48,RU,1611001909
361,buckeye,33.3703,-112.5838,72.0,14,4.0,78,US,1611001800
362,beihai,21.4833,109.1,58.28,58,4.97,9,CN,1611001910
363,hami,42.8,93.45,15.17,76,3.74,31,CN,1611001910
364,lazaro cardenas,17.9583,-102.2,83.48,57,8.95,32,MX,1611001805
365,lamu,-2.2717,40.902,78.8,83,8.05,1,KE,1611001910
366,talcahuano,-36.7167,-73.1167,77.0,50,17.27,0,CL,1611001910
367,dzilam gonzalez,21.2833,-88.9333,75.85,54,8.46,0,MX,1611001910
368,wageningen,51.9667,5.6667,43.0,100,12.66,75,NL,1611001911
369,krapina,46.1608,15.8789,30.99,86,1.14,0,HR,1611001911
